"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"UBASH3A",1061.890392541,10.5300150096834,6.105136566,6.038374156,4.841232059,10.09959562,4.99757405673468,"T"
"TRAT1",1787.60207643353,13.9610794609918,6.845897848,25.38745132,10.65205619,10.38229418,4.98862380598939,"T"
"ICOS",883.705659317303,6.76434335539351,5.362446048,12.554434,6.702810599,6.199101199,4.81450592870588,"T"
"CD3D",13738.8756597399,114.385387173153,79.18206065,250.8695535,106.1967153,250.9974436,4.56258630620643,"T"
"CD8B",1444.97183848226,21.0649510951374,14.49443263,20.09303314,14.20160728,31.43329135,4.31125090136476,"T"
"TCF7",3581.67867865133,51.7582492677606,18.65570294,415.1493446,32.56860072,55.11585006,4.10475486906252,"T"
"LEF1",1420.62797490227,30.5285005386412,12.54164279,115.1927029,11.61178237,31.2755148,3.94101879948757,"T"
"CD3G",3086.44717486412,60.9402385416361,31.97464945,252.9163802,29.83579519,160.0909817,3.71890649960571,"T"
"DPP4",799.046203750531,18.9994029296083,19.65506451,43.07303297,11.79647193,19.5766283,3.65786344509281,"T"
"CD7",1989.58557875806,15.8879333312594,20.48373388,1666.682281,27.07256267,25.19240764,3.64991270080081,"T"
"LCK",8429.77162158218,335.820293310494,80.75884433,3604.565205,43.79168499,186.8691266,3.55795444636371,"T"
"TRAC",14810.3284466424,640.536491921918,208.9784165,815.6846136,215.6237237,790.0055576,3.49225214507033,"T"
"FLT3LG",1522.32786347715,30.9491973264523,69.27835254,226.7845957,18.33062213,26.35814025,3.47302986046807,"T"
"TRBC1",10506.5282309579,631.429815572399,78.94320693,4520.50562,189.1209091,181.0122765,3.32494287598257,"T"
"BCL11B",4971.36328548413,161.427706801669,88.02675109,818.2107999,95.81819269,166.8927472,3.32172496179019,"T"
"RPL3P7",2712.99950666265,124.303267289046,109.4607889,256.6761145,20.79837075,142.5383492,3.29369184145247,"T"
"IL7R",16411.1960736462,305.443683124248,163.3050166,1159.340489,2156.179359,742.6718185,3.27385125131995,"T"
"CTLA4",425.835391323201,18.2411949555377,18.619765,11.01469755,16.48246747,38.69364838,3.11703099252628,"T"
"ITK",7624.46043297254,459.709419339723,124.1014103,3056.935046,102.079759,380.4695205,3.0303123856472,"T"
"SIRPG",1290.54483662457,82.7751541674341,54.8626275,98.34637628,30.07003805,125.1446974,2.91432857549416,"T"
"LIME1",1178.89541714346,27.0415066986357,78.16252525,181.4780792,42.42770527,79.53831265,2.87606548028104,"T"
"RCAN3",321.78908118191,45.7250764161526,41.68337282,7.23560514,30.55512091,5.269930927,2.85123375758153,"T"
"CD2",8961.1861523147,417.890116973364,222.357789,6247.906848,187.6124847,576.8272959,2.74637197213763,"T"
"CD40LG",515.282572613106,63.2493091308539,24.75213495,29.30316525,20.16451827,51.29818379,2.70966115961925,"T"
"GRAP2",278.996809254915,12.9994757955473,11.82509864,200.763896,7.973524377,10.85570109,2.67158437167359,"T"
"CD6",2096.69098668929,78.2858457916615,90.96996824,623.8033823,96.80906697,155.6335945,2.66272033533248,"T"
"TRAV13-1",642.58115728648,86.1902922117054,29.72104173,42.45202479,32.45267986,74.99855252,2.58668526959848,"T"
"LY9",1377.29286891889,339.05429286786,30.00087721,271.972779,74.17751535,59.93806713,2.58130281284889,"T"
"PMCH",131.870225364377,12.1169666307279,9.49164333,6.727160344,9.763369734,13.42857679,2.5763794616231,"T"
"LAT",3906.51511757149,153.608684594452,239.5833162,1722.578313,205.2650782,209.6546017,2.5434708434767,"T"
"MAP9",65.7425646363898,10.7351416385861,1.421006596,37.63679768,2.574327617,2.738399982,2.52458007291912,"T"
"CD3E",5482.2619574359,1158.47792415215,225.2808846,461.7145711,195.4486787,809.110134,2.49359505030388,"T"
"MAP4K1",1830.86826303835,185.818421900142,317.9668785,747.3149188,58.98386899,35.18234699,2.46434313059106,"T"
"TRAV12-2",146.078222821661,12.9930713337674,10.63253287,11.08896426,12.87147163,15.47264026,2.45846789815353,"T"
"TRAV8-6",329.321019604362,24.1780878119946,34.39428346,18.30217166,24.16870446,65.39316048,2.3978663943551,"T"
"VILL",502.162924229225,30.3172572025051,97.78124023,215.5413192,21.08681353,20.88408586,2.32787706042964,"T"
"TRAV9-2",576.358204927808,65.2921726267479,47.77691068,56.17040361,27.7387923,130.9175576,2.30248848952501,"T"
"RPL10L",416.106534851099,41.4175834625309,95.70491339,91.27669248,26.98167014,13.6945175,2.28873653231952,"T"
"CD8A",3874.2111408569,530.551772661664,203.576442,959.5951565,176.6671569,623.2298556,2.24896664593745,"T"
"FBXL8",167.791465318527,7.05531786741712,43.1055926,12.81344642,67.36258689,8.576738645,2.19730732821753,"T"
"LTB",11386.086649487,10628.5947278309,321.3564756,1009.906661,184.5481051,5458.249488,2.18329520967049,"T"
"TRAV21",591.483124417691,111.323987971517,51.31601583,55.8763643,52.02734337,88.25003141,2.16152663305041,"T"
"DSC1",306.47385806313,76.8942751706949,18.85006161,21.21931052,45.60303808,42.13322455,2.14619841961022,"T"
"PASK",1944.54077244354,531.770503465118,146.7089795,194.6949707,159.7552188,260.1254538,2.13860036614578,"T"
"DGKA",2631.8931329782,432.14862975372,300.9545855,393.4296648,198.328799,314.1795669,2.11735424677636,"T"
"TRAV13-2",478.666522383994,71.8281156941584,56.85541485,44.35066443,41.21658712,88.04801861,2.1102765107661,"T"
"EPB41",243.657687251444,29.0440207472535,25.10456886,104.9505198,17.91341178,16.47488638,2.10921664549514,"T"
"CLEC2D",1599.63907198285,947.313333946981,93.13451585,979.2239401,66.49062417,68.77784236,2.03705776159848,"T"
"RASA3",261.209786858398,12.7055209658334,93.34350756,212.7904928,17.29897036,19.42649153,1.91414072974125,"T"
"CD28",728.348627942575,172.735497876826,79.14901833,77.96041968,87.37183838,177.5405702,1.88504635516112,"T"
"GAL3ST4",404.011492154247,70.0780621151385,44.09898382,35.6643216,141.2340099,77.37112075,1.81959750731264,"T"
"PIK3IP1",4751.81961367478,2253.55620697222,647.7544918,1203.06945,295.0789727,545.6500777,1.8111571213763,"T"
"PGGHG",1662.73369492322,394.274300693062,183.2808703,570.547141,31.12354897,1241.008114,1.79695703043436,"T"
"SIT1",1554.10731225242,876.176052577358,99.63796028,115.1265171,411.7305737,286.5258188,1.78838862928557,"T"
"WNT7A",119.039374255468,13.5938738465654,56.25300857,11.09709075,17.52213467,21.34233197,1.78539047841197,"T"
"SPOCK2",3035.43517689568,1466.69057168493,263.011432,995.6524365,202.7159891,594.0103963,1.72509761562211,"T"
"ZNF204P",199.085356249368,72.3998287171974,29.90974572,37.01330204,25.55386032,27.48554596,1.72451079334673,"T"
"EPHA1",407.122828736937,46.9885345205247,63.80169822,155.7830488,60.8481688,71.4205995,1.72289176614547,"T"
"ETV3",198.294955539219,37.8078125517672,40.95675962,33.20716288,40.52550185,40.75588852,1.63828959358888,"T"
"TRIB2",2009.24867138086,1701.94312836206,123.0323791,1307.778436,255.2096152,155.8993479,1.60164525448522,"T"
"FLJ13197",155.616732567997,117.3023390307,15.24807194,147.0679625,10.0917531,11.65518546,1.59788167750401,"T"
"ACAP1",1153.47213953919,231.975963724253,190.8790244,512.636909,61.38654966,596.0259609,1.56146864460334,"T"
"PBXIP1",2099.44746848269,481.145889542615,253.4748335,527.8700969,290.7321071,980.0231145,1.54137673840468,"T"
"CD5",1331.3369275134,440.346000282265,312.9288878,283.2620394,270.5730739,223.7346793,1.49575647640968,"T"
"ETS1",1056.15271387426,958.04296388693,85.66933558,759.7185652,120.6221577,243.6131706,1.3150720236777,"T"
"MAP4K2",42.0109100886876,10.9612172670278,12.04202684,11.12538801,11.28413666,12.24076681,1.2938962206603,"T"
"ZFP36L2",2786.58129286519,882.565411933063,1341.516598,915.0156182,532.3725666,517.338976,1.26669638829667,"T"
"IL9",58.6199028856494,57.3375221403583,15.74553195,45.8168679,31.51470707,24.3295572,0.61661218094319,"T"
"BANK1",32.3554344495283,7875.96249668455,86.58724759,33.00482498,49.22937803,39.18510516,5.17169556393349,"B"
"MS4A1",233.100184307919,17990.6428115184,128.6338935,193.3316222,64.56613288,274.6589928,4.72639386750869,"B"
"BLK",75.4540976835034,2022.96521794378,34.13408456,10.05664906,15.2857867,9.863599005,4.57675374868562,"B"
"TCL1A",112.525952706959,10337.5330203433,161.4604075,104.9994128,90.24888922,261.7385971,4.33727329848055,"B"
"FCRL2",57.8838672030722,4240.83025006387,47.6563456,54.32604608,61.14907238,116.1844543,4.19532393639498,"B"
"CD72",19.0876519876494,1239.58346167182,9.096324111,67.34451995,24.27133459,9.272238244,4.16591981170259,"B"
"HLA-DOB",115.407322977931,6329.08763952003,102.1825691,230.4248523,37.2824505,96.88647987,4.15146809052085,"B"
"CD79A",280.556196450368,11760.1283658937,174.974517,149.4947867,138.9136781,261.960019,4.1103260312981,"B"
"P2RX5",841.976029128108,9629.73550362168,175.5409499,507.7460936,37.21278271,35.46460502,4.10885246231845,"B"
"CD22",48.3548135184595,3059.92513408029,31.15232509,41.94230156,154.8175221,72.3215622,3.95072192427574,"B"
"CD19",103.95556624328,6998.99561464602,164.9026221,90.4860579,122.9982229,257.8963108,3.92967353640543,"B"
"RUBCNL",58.0830110720913,6904.79609633819,176.3964323,54.34410784,61.81257943,2046.296729,3.84440409824557,"B"
"SPIB",78.2237734942825,4167.66199142681,116.3915428,106.9259138,57.53286072,272.8204886,3.64514248601447,"B"
"PNOC",72.7228455791934,4207.50710346833,230.8474814,65.36645851,68.46161307,269.3613294,3.59847581757365,"B"
"CR2",172.78665828574,1328.32574229527,35.1557773,25.27012551,16.28183461,33.0622167,3.5456924508672,"B"
"ABCB4",5.68322028692483,470.263251838388,6.202495893,13.68283856,114.6367466,14.90688846,3.42885184641742,"B"
"CD79B",298.420661500925,5778.3530495127,158.7986952,364.2599841,61.59710526,232.5557133,3.41512318271611,"B"
"RALGPS2",40.476015787555,1551.37826343624,44.85995177,54.56356691,37.70351551,109.4299419,3.3811671527433,"B"
"VPREB3",112.604436932929,3592.45377854024,136.159858,126.7365483,91.99785705,157.9569892,3.37380888980615,"B"
"ADAM28",26.0598498017277,1818.99050623608,58.3112027,193.6093922,37.29172579,128.6860657,3.29240095154649,"B"
"BACH2",721.163131839605,3939.60952522416,52.1091524,478.0988813,58.86433429,132.7648842,3.14526915178286,"B"
"CD69",4604.79490590505,7743.65568901271,66.10288756,1781.265844,39.31238934,436.4221698,2.98237013557873,"B"
"PTPRCAP",4046.00418213249,4101.13715759701,35.76573661,3602.345527,29.6087852,40.98388057,2.88440640909176,"B"
"SLC12A1",11.2216511496941,83.131253709583,3.335133412,3.639923264,2.708807426,8.293088602,2.81517047353803,"B"
"FCMR",6122.60782226645,10747.8125922995,117.871065,2548.903709,147.2831703,735.0353714,2.697451719163,"B"
"GPR18",946.03081055072,2863.22221495954,109.6660347,1204.171373,21.83449399,156.3072275,2.60398766233533,"B"
"CXCR5",189.149136443732,357.791909274631,14.61246054,16.03380756,17.53626408,19.29227122,2.57533447673981,"B"
"MICAL3",94.2855932284425,327.538090321093,15.57018571,40.04773519,21.72023967,10.63927101,2.50669336772039,"B"
"FCGR2B",44.4152833772354,3569.24519265421,287.6388369,119.9451162,1529.233028,1302.127371,2.43078946115246,"B"
"NIPSNAP3B",113.630091172146,1447.33061006016,89.57172242,152.7729655,69.48205189,331.760106,2.41699186565472,"B"
"BCL7A",102.333502065078,993.919935669113,53.33648066,31.50174882,281.3217082,121.2861905,2.40314614489788,"B"
"FRK",14.4785172556386,136.275642234971,7.43265118,3.655442581,13.42127435,61.16828044,2.3776324914994,"B"
"ZNF286A",155.448972900002,674.207491623547,11.04393742,225.4077006,15.08086286,441.3134689,2.17967952689712,"B"
"IL7",52.016959324404,307.454749802574,51.3943268,24.76130902,68.88084979,14.89186794,2.12161324145146,"B"
"LY86",308.193973443503,7075.9282025431,5218.063407,243.1158973,1997.214217,691.7851206,2.07986725976716,"B"
"BRAF",157.939580605005,2321.32024476659,264.8782577,298.7194597,230.0949786,721.2799495,2.07778992166702,"B"
"NMBR",33.215878519083,517.773843092386,77.85728222,29.15508056,81.80338925,201.7522159,2.06115982652366,"B"
"HHEX",112.311643586789,4220.47838048246,1914.137567,245.8936654,929.3017456,946.2641209,2.05367288263145,"B"
"RASGRP2",2775.03384354268,5789.58394452507,759.9791832,1363.762146,65.88033568,1260.173261,2.04250446886379,"B"
"PSG2",169.233608087496,1493.77273650663,170.0696655,148.4491223,116.270557,553.4992818,2.04107807394322,"B"
"IL4R",1223.06898666774,9578.41192034915,1192.215763,851.30019,1093.752458,2809.100785,1.99177876907508,"B"
"MEP1A",83.2226374245082,853.633982835305,98.26125945,85.62849683,186.6180666,165.3704727,1.99021856562337,"B"
"LHCGR",13.6081628953268,161.069193033,11.47012114,21.7148195,20.63736847,82.91574196,1.96716631449142,"B"
"LINC00921",119.040060028978,604.949160919795,69.03803764,116.2458441,21.81066603,287.709765,1.90230915865821,"B"
"BEND5",128.423640631355,523.61893240284,57.98412082,74.64354417,66.09074337,102.1569818,1.85161077370299,"B"
"MBL2",9.18946298587711,64.8666445682912,4.939369175,14.15214366,8.24077408,21.75446848,1.8415186006521,"B"
"CCR6",272.122280609006,328.061004542681,29.59035049,46.43838291,30.03002814,45.63378677,1.78226510617367,"B"
"CD37",4101.134671516,12990.8930579772,4508.112105,2090.502205,408.0617171,3204.567177,1.77969124567153,"B"
"UGT1A8",106.180634403428,647.706183450558,91.50678971,78.13378227,85.82524233,336.4203983,1.71130674154317,"B"
"SP140",468.286183799795,1118.93117068878,107.9949811,411.7724421,75.79589461,218.1702966,1.70713813583102,"B"
"TRAF4",55.6599641775947,234.873421929196,28.30245079,54.5480586,39.85889969,48.24388624,1.67446544778663,"B"
"IFNA10",15.400695031415,78.3931231659049,13.10429637,8.565645005,21.86200716,20.7783228,1.64698165128868,"B"
"NPIPB15",440.304960603017,1808.55661335367,176.7823779,288.973686,246.2668474,1079.514585,1.6164033273006,"B"
"IL21",117.504544043806,338.788328045539,103.5720427,38.68027919,78.1233779,201.0983497,1.28054395837717,"B"
"FCN1",120.08459253355,149.943304144194,29800.42108,465.2336051,121.7194027,5370.355855,4.43600556082153,"Monocytes"
"CFP",94.0877310741966,4.58512477236437,3702.502521,33.99443636,7.548560149,2060.180409,4.36773472282651,"Monocytes"
"CD1D",18.7506201113602,270.658304250728,2785.253606,16.24955986,90.82975345,136.9215217,3.78238528097091,"Monocytes"
"ASGR2",36.844943327075,30.8328911568477,1484.961048,29.55398187,48.75909319,49.90264894,3.65944688472324,"Monocytes"
"CD33",17.2344234407137,24.0172720498497,1494.400184,13.328498,731.6958076,36.74188801,3.54650643708202,"Monocytes"
"ASGR1",12.165854395354,41.1253536732072,976.7071792,10.82390469,76.17616916,75.07267777,3.434482801608,"Monocytes"
"S100A12",97.6616500920697,193.006714172405,11149.65069,1088.208915,132.8315959,8781.768452,3.15795593369909,"Monocytes"
"UPK3A",12.5246646901591,15.0932370933588,215.8718015,10.8839878,10.60159881,18.54314925,2.79261580525072,"Monocytes"
"HPSE",136.184310799094,30.6112058386238,1285.833086,29.9724331,27.69056049,973.4037642,2.77165331399733,"Monocytes"
"CCR2",427.716679436198,410.626755076412,2908.726283,92.11909435,115.7528109,243.2288166,2.60653305514227,"Monocytes"
